respondent_id,survey_wave,city_tier,region,vehicle_type,vehicle_age_years,e20_factory_compatible,monthly_fuel_spend_inr,experienced_mileage_drop,mileage_drop_bucket,experienced_repair_wear_increase,govt_e20_handling_sentiment,wants_e0_e10_choice_back,prior_awareness_of_separator_devices,price_point_shown_inr,purchase_likelihood_1to5,nps_0to10,preferred_payment_mode,primary_motivator,household_income_bucket
R100010,Wave 1 - Jul 2026,Tier-1,East,Sedan,6.1,No,6149,Yes,10-15%,Yes,Disastrous,Yes,No,3999,5,10,One-time payment,Protect engine/seals from damage,₹3-6L
R100011,Wave 1 - Jul 2026,Tier-3,East,Commercial/Fleet,5.9,No,17984,No,None noticed,Yes,Neutral/Mixed,Yes,No,4499,5,8,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100012,Wave 2 - Jul 2026,Tier-2,West,Two-wheeler,3.8,No,838,Yes,10-15%,Yes,Disastrous,Yes,No,3999,5,10,One-time payment,Restore lost mileage,₹10-20L
R100013,Wave 1 - Jul 2026,Tier-3,South,Hatchback,3.0,No,2856,Yes,15%+,Yes,Disastrous,No,Yes,3999,5,6,One-time payment,Restore lost mileage,₹3-6L
R100014,Wave 2 - Jul 2026,Tier-1,South,Hatchback,2.7,Yes,2697,No,None noticed,No,Ineffective,Yes,No,5999,1,2,One-time payment,Not sure / still skeptical,₹10-20L
R100015,Wave 1 - Jul 2026,Metro,West,Two-wheeler,8.8,No,1912,Yes,10-15%,Yes,Disastrous,Yes,Yes,5999,5,7,One-time payment,Protect engine/seals from damage,₹6-10L
R100016,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,1.8,No,1608,No,None noticed,No,Ineffective,No,No,5999,1,0,No-cost EMI (installments),Save money long-term vs additives,₹10-20L
R100017,Wave 1 - Jul 2026,Metro,West,Hatchback,1.9,Yes,3187,No,None noticed,Yes,Ineffective,No,No,5999,1,0,No-cost EMI (installments),Not sure / still skeptical,<₹3L
R100018,Wave 1 - Jul 2026,Tier-3,West,Two-wheeler,6.5,No,1179,Yes,10-15%,No,Ineffective,Yes,No,4499,2,3,No-cost EMI (installments),Not sure / still skeptical,>₹20L
R100019,Wave 1 - Jul 2026,Tier-2,North,Commercial/Fleet,6.1,No,14225,Yes,10-15%,Yes,Ineffective,No,Yes,3999,5,9,No-cost EMI (installments),Restore lost mileage,>₹20L
R100020,Wave 1 - Jul 2026,Tier-2,North,Two-wheeler,2.9,No,1053,Yes,10-15%,Yes,Neutral/Mixed,Yes,Yes,3999,3,6,No-cost EMI (installments),Restore lost mileage,<₹3L
R100021,Wave 2 - Jul 2026,Tier-1,North,Two-wheeler,4.9,No,1580,Yes,10-15%,Yes,Positive,No,No,4499,5,8,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100022,Wave 1 - Jul 2026,Tier-3,Central,Sedan,5.4,No,5333,Yes,10-15%,No,Neutral/Mixed,Yes,No,5999,4,6,One-time payment,Restore lost mileage,₹6-10L
R100023,Wave 2 - Jul 2026,Tier-3,West,Two-wheeler,1.2,Yes,2216,No,None noticed,No,Neutral/Mixed,No,No,3999,2,2,One-time payment,Not sure / still skeptical,₹3-6L
R100024,Wave 1 - Jul 2026,Tier-2,North,Commercial/Fleet,7.8,Yes,24977,Yes,0-5%,Yes,Disastrous,Yes,No,3999,5,9,No-cost EMI (installments),Save money long-term vs additives,>₹20L
R100025,Wave 2 - Jul 2026,Metro,Central,Sedan,5.4,No,7927,Yes,15%+,No,Positive,No,No,4499,4,4,One-time payment,Restore lost mileage,₹3-6L
R100026,Wave 1 - Jul 2026,Tier-1,South,Two-wheeler,4.7,No,1663,Yes,10-15%,Yes,Disastrous,No,Yes,5999,5,9,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100027,Wave 2 - Jul 2026,Metro,South,Sedan,5.4,No,5114,No,None noticed,Yes,Disastrous,Yes,No,4499,3,4,One-time payment,Protect engine/seals from damage,<₹3L
R100028,Wave 1 - Jul 2026,Metro,Central,Hatchback,4.3,No,4903,No,None noticed,Yes,Ineffective,Yes,No,5999,2,4,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100029,Wave 1 - Jul 2026,Tier-2,North,Sedan,3.2,No,5233,Yes,10-15%,Yes,Ineffective,Yes,Yes,4499,5,8,One-time payment,Restore lost mileage,₹10-20L
R100030,Wave 1 - Jul 2026,Tier-2,North,SUV,3.8,No,11943,Yes,10-15%,Yes,Ineffective,Yes,No,4499,5,8,One-time payment,Restore lost mileage,₹6-10L
R100031,Wave 2 - Jul 2026,Tier-3,West,Sedan,1.1,Yes,6457,No,None noticed,No,Disastrous,Yes,No,4499,4,8,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100032,Wave 2 - Jul 2026,Tier-1,North,Hatchback,11.0,No,4509,Yes,10-15%,Yes,Ineffective,Yes,No,5999,5,10,No-cost EMI (installments),Restore lost mileage,<₹3L
R100033,Wave 2 - Jul 2026,Tier-1,West,Two-wheeler,3.2,Yes,1450,No,None noticed,Yes,Disastrous,No,No,5999,4,8,One-time payment,Protect engine/seals from damage,₹10-20L
R100034,Wave 1 - Jul 2026,Tier-1,North,Sedan,10.9,No,8626,No,None noticed,Yes,Disastrous,Yes,No,4499,3,5,No-cost EMI (installments),Protect engine/seals from damage,₹6-10L
R100035,Wave 1 - Jul 2026,Metro,North,Commercial/Fleet,3.9,No,11073,Yes,10-15%,Yes,Disastrous,Yes,No,3999,5,10,One-time payment,Protect engine/seals from damage,₹6-10L
R100036,Wave 1 - Jul 2026,Metro,North,Hatchback,2.2,No,6362,No,None noticed,No,Neutral/Mixed,No,No,3999,2,5,One-time payment,Save money long-term vs additives,₹6-10L
R100037,Wave 2 - Jul 2026,Tier-1,South,Sedan,7.7,No,5498,No,None noticed,Yes,Neutral/Mixed,No,No,3999,2,2,One-time payment,Environmental/fuel-quality concern,>₹20L
R100038,Wave 1 - Jul 2026,Metro,North,Two-wheeler,4.5,No,849,Yes,10-15%,Yes,Disastrous,Yes,No,3999,5,8,One-time payment,Restore lost mileage,₹10-20L
R100039,Wave 2 - Jul 2026,Tier-2,North,Sedan,13.5,No,4578,Yes,10-15%,Yes,Disastrous,No,Yes,3999,5,10,One-time payment,Environmental/fuel-quality concern,₹6-10L
R100040,Wave 2 - Jul 2026,Tier-1,East,Commercial/Fleet,2.2,Yes,9949,No,None noticed,No,Disastrous,No,No,5999,4,6,Subscription (device+cartridges bundled),Restore lost mileage,₹6-10L
R100041,Wave 1 - Jul 2026,Tier-3,South,Two-wheeler,7.9,No,1656,Yes,10-15%,Yes,Ineffective,No,No,5999,5,9,One-time payment,Protect engine/seals from damage,<₹3L
R100042,Wave 2 - Jul 2026,Tier-2,South,Two-wheeler,8.2,No,993,Yes,10-15%,No,Positive,No,No,5999,3,5,Subscription (device+cartridges bundled),Restore lost mileage,₹6-10L
R100043,Wave 1 - Jul 2026,Tier-1,North,Hatchback,5.7,No,4398,Yes,10-15%,No,Ineffective,Yes,Yes,5999,5,8,One-time payment,Restore lost mileage,₹6-10L
R100044,Wave 1 - Jul 2026,Tier-3,South,Hatchback,8.2,No,5534,Yes,15%+,No,Ineffective,Yes,No,5999,4,6,No-cost EMI (installments),Protect engine/seals from damage,₹10-20L
R100045,Wave 1 - Jul 2026,Tier-2,South,Hatchback,3.3,No,3410,Yes,15%+,Yes,Neutral/Mixed,Yes,No,5999,5,10,No-cost EMI (installments),Save money long-term vs additives,₹6-10L
R100046,Wave 1 - Jul 2026,Tier-1,West,Two-wheeler,1.8,Yes,1295,Yes,10-15%,No,Disastrous,Yes,No,3999,4,6,No-cost EMI (installments),Not sure / still skeptical,₹3-6L
R100047,Wave 1 - Jul 2026,Tier-1,North,Two-wheeler,2.4,Yes,889,Yes,5-10%,No,Disastrous,No,Yes,3999,3,6,One-time payment,Protect engine/seals from damage,₹3-6L
R100048,Wave 2 - Jul 2026,Tier-2,Central,Hatchback,3.7,Yes,3743,Yes,0-5%,Yes,Disastrous,No,Yes,3999,5,8,One-time payment,Restore lost mileage,<₹3L
R100049,Wave 2 - Jul 2026,Metro,Central,Hatchback,5.8,No,7227,Yes,10-15%,Yes,Disastrous,No,No,5999,5,8,No-cost EMI (installments),Save money long-term vs additives,₹10-20L
R100050,Wave 1 - Jul 2026,Metro,North,Sedan,1.9,Yes,7063,Yes,0-5%,No,Ineffective,No,No,3999,4,9,One-time payment,Restore lost mileage,>₹20L
R100051,Wave 2 - Jul 2026,Metro,North,Sedan,2.7,No,5370,Yes,10-15%,Yes,Disastrous,Yes,No,4499,4,5,No-cost EMI (installments),Protect engine/seals from damage,₹6-10L
R100052,Wave 2 - Jul 2026,Tier-2,North,Hatchback,2.1,Yes,3481,No,None noticed,No,Ineffective,No,No,4499,3,5,No-cost EMI (installments),Environmental/fuel-quality concern,₹6-10L
R100053,Wave 1 - Jul 2026,Tier-2,West,SUV,6.5,No,8102,Yes,10-15%,No,Ineffective,Yes,No,4499,4,9,One-time payment,Protect engine/seals from damage,₹6-10L
R100054,Wave 1 - Jul 2026,Tier-2,North,Hatchback,10.9,No,4353,Yes,10-15%,Yes,Disastrous,Yes,No,4499,4,7,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100055,Wave 2 - Jul 2026,Tier-2,East,Hatchback,1.6,Yes,3707,Yes,5-10%,No,Disastrous,No,No,5999,3,6,One-time payment,Restore lost mileage,₹3-6L
R100056,Wave 1 - Jul 2026,Tier-1,East,Hatchback,5.1,No,4823,Yes,15%+,No,Neutral/Mixed,Yes,Yes,4499,3,5,Subscription (device+cartridges bundled),Restore lost mileage,₹3-6L
R100057,Wave 1 - Jul 2026,Tier-2,East,Two-wheeler,7.1,No,1026,Yes,10-15%,No,Ineffective,Yes,No,5999,2,2,Subscription (device+cartridges bundled),Not sure / still skeptical,>₹20L
R100058,Wave 2 - Jul 2026,Metro,West,Two-wheeler,3.0,No,1024,No,None noticed,No,Disastrous,Yes,No,3999,3,4,No-cost EMI (installments),Restore lost mileage,<₹3L
R100059,Wave 2 - Jul 2026,Metro,Central,Hatchback,1.1,Yes,4635,No,None noticed,No,Ineffective,Yes,No,5999,3,2,Subscription (device+cartridges bundled),Protect engine/seals from damage,₹6-10L
R100060,Wave 2 - Jul 2026,Tier-2,North,SUV,7.6,No,5517,No,None noticed,No,Disastrous,Yes,No,4499,4,6,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100061,Wave 2 - Jul 2026,Tier-1,South,Sedan,1.1,Yes,6984,No,None noticed,Yes,Disastrous,Yes,No,3999,4,7,One-time payment,Protect engine/seals from damage,₹6-10L
R100062,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,9.1,No,1394,Yes,10-15%,Yes,Disastrous,Yes,No,5999,3,5,One-time payment,Restore lost mileage,₹3-6L
R100063,Wave 2 - Jul 2026,Tier-2,Central,Hatchback,2.0,Yes,2050,Yes,0-5%,No,Disastrous,No,No,5999,3,8,One-time payment,Restore lost mileage,>₹20L
R100064,Wave 2 - Jul 2026,Tier-2,West,Two-wheeler,0.9,No,1443,Yes,0-5%,No,Neutral/Mixed,No,No,5999,3,5,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100065,Wave 1 - Jul 2026,Tier-2,East,Sedan,2.5,Yes,3063,Yes,0-5%,No,Neutral/Mixed,No,No,5999,4,8,No-cost EMI (installments),Protect engine/seals from damage,>₹20L
R100066,Wave 1 - Jul 2026,Tier-2,North,SUV,3.5,Yes,9792,No,None noticed,Yes,Neutral/Mixed,No,No,4499,4,8,No-cost EMI (installments),Save money long-term vs additives,₹6-10L
R100067,Wave 1 - Jul 2026,Tier-1,Central,Hatchback,4.0,No,3908,Yes,10-15%,Yes,Ineffective,No,No,3999,5,10,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100068,Wave 2 - Jul 2026,Metro,South,Hatchback,5.4,No,6377,Yes,10-15%,Yes,Ineffective,No,No,3999,5,9,One-time payment,Environmental/fuel-quality concern,₹10-20L
R100069,Wave 2 - Jul 2026,Tier-1,South,Two-wheeler,4.2,No,1820,Yes,5-10%,Yes,Ineffective,No,No,5999,4,7,One-time payment,Restore lost mileage,₹6-10L
R100070,Wave 2 - Jul 2026,Metro,Central,Two-wheeler,10.3,No,984,No,None noticed,No,Positive,No,No,5999,3,4,One-time payment,Protect engine/seals from damage,₹3-6L
R100071,Wave 1 - Jul 2026,Tier-1,South,SUV,3.4,Yes,3560,Yes,0-5%,Yes,Ineffective,No,No,5999,4,7,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,₹10-20L
R100072,Wave 2 - Jul 2026,Tier-3,South,Sedan,4.4,No,4574,Yes,10-15%,Yes,Ineffective,Yes,No,5999,5,9,No-cost EMI (installments),Save money long-term vs additives,₹6-10L
R100073,Wave 1 - Jul 2026,Metro,West,Hatchback,4.2,No,2764,No,None noticed,No,Positive,No,No,4499,3,5,One-time payment,Protect engine/seals from damage,₹6-10L
R100074,Wave 2 - Jul 2026,Metro,North,Two-wheeler,0.8,Yes,2116,Yes,0-5%,No,Ineffective,Yes,No,3999,2,1,One-time payment,Save money long-term vs additives,₹10-20L
R100075,Wave 1 - Jul 2026,Tier-1,South,Two-wheeler,1.3,Yes,1396,Yes,0-5%,No,Disastrous,No,No,3999,4,7,Subscription (device+cartridges bundled),Save money long-term vs additives,₹6-10L
R100076,Wave 2 - Jul 2026,Tier-1,North,Two-wheeler,3.7,Yes,1766,No,None noticed,Yes,Disastrous,Yes,No,4499,2,4,One-time payment,Restore lost mileage,₹3-6L
R100077,Wave 1 - Jul 2026,Tier-2,North,Two-wheeler,4.8,No,1288,Yes,10-15%,Yes,Disastrous,No,No,5999,2,2,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100078,Wave 1 - Jul 2026,Tier-2,East,Two-wheeler,0.5,Yes,1330,Yes,10-15%,Yes,Disastrous,No,No,3999,5,10,One-time payment,Protect engine/seals from damage,₹3-6L
R100079,Wave 1 - Jul 2026,Tier-2,West,Commercial/Fleet,10.6,No,18331,Yes,10-15%,Yes,Disastrous,No,No,5999,5,9,One-time payment,Save money long-term vs additives,₹6-10L
R100080,Wave 2 - Jul 2026,Tier-2,South,Hatchback,5.0,No,5501,Yes,10-15%,No,Disastrous,Yes,Yes,5999,4,7,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100081,Wave 1 - Jul 2026,Tier-1,South,Two-wheeler,3.5,Yes,1522,No,None noticed,No,Ineffective,Yes,No,3999,4,7,No-cost EMI (installments),Protect engine/seals from damage,₹3-6L
R100082,Wave 2 - Jul 2026,Tier-2,South,Two-wheeler,4.9,Yes,986,No,None noticed,Yes,Positive,No,No,5999,4,6,No-cost EMI (installments),Not sure / still skeptical,₹10-20L
R100083,Wave 1 - Jul 2026,Metro,West,Two-wheeler,2.4,Yes,2036,No,None noticed,No,Neutral/Mixed,No,No,4499,2,0,One-time payment,Restore lost mileage,₹3-6L
R100084,Wave 1 - Jul 2026,Metro,Central,SUV,4.0,No,7528,Yes,5-10%,Yes,Disastrous,No,No,5999,5,10,Subscription (device+cartridges bundled),Save money long-term vs additives,₹3-6L
R100085,Wave 1 - Jul 2026,Metro,Central,Two-wheeler,4.5,No,1221,Yes,10-15%,Yes,Disastrous,Yes,No,4499,5,10,No-cost EMI (installments),Restore lost mileage,₹10-20L
R100086,Wave 1 - Jul 2026,Tier-2,South,Sedan,7.7,No,1205,No,None noticed,No,Ineffective,No,No,4499,3,5,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,₹10-20L
R100087,Wave 1 - Jul 2026,Tier-1,South,SUV,3.1,No,9657,Yes,10-15%,Yes,Ineffective,No,No,3999,5,10,One-time payment,Protect engine/seals from damage,₹10-20L
R100088,Wave 1 - Jul 2026,Metro,South,Two-wheeler,1.1,Yes,1440,No,None noticed,No,Neutral/Mixed,Yes,No,4499,2,2,One-time payment,Protect engine/seals from damage,₹3-6L
R100089,Wave 1 - Jul 2026,Tier-1,West,Hatchback,1.8,Yes,4318,No,None noticed,No,Disastrous,Yes,Yes,5999,3,6,No-cost EMI (installments),Save money long-term vs additives,₹6-10L
R100090,Wave 2 - Jul 2026,Metro,South,Commercial/Fleet,3.0,No,16413,No,None noticed,No,Neutral/Mixed,No,No,5999,3,5,No-cost EMI (installments),Not sure / still skeptical,>₹20L
R100091,Wave 1 - Jul 2026,Tier-2,West,Two-wheeler,1.2,Yes,1175,Yes,5-10%,No,Disastrous,No,No,5999,2,3,No-cost EMI (installments),Environmental/fuel-quality concern,₹3-6L
R100092,Wave 1 - Jul 2026,Tier-1,West,Two-wheeler,1.6,Yes,1255,No,None noticed,No,Neutral/Mixed,No,No,3999,3,3,One-time payment,Restore lost mileage,<₹3L
R100093,Wave 2 - Jul 2026,Tier-1,South,Commercial/Fleet,1.8,Yes,20899,No,None noticed,Yes,Positive,No,No,5999,3,4,One-time payment,Restore lost mileage,₹3-6L
R100094,Wave 1 - Jul 2026,Tier-1,South,SUV,2.8,Yes,9667,Yes,0-5%,No,Neutral/Mixed,No,No,3999,5,10,One-time payment,Protect engine/seals from damage,₹10-20L
R100095,Wave 1 - Jul 2026,Tier-2,South,Hatchback,5.0,No,3928,Yes,5-10%,Yes,Disastrous,Yes,No,3999,5,10,One-time payment,Protect engine/seals from damage,₹3-6L
R100096,Wave 1 - Jul 2026,Tier-1,North,Hatchback,2.7,No,5316,Yes,10-15%,No,Ineffective,No,Yes,5999,2,4,No-cost EMI (installments),Save money long-term vs additives,₹6-10L
R100097,Wave 1 - Jul 2026,Metro,North,Two-wheeler,5.2,No,1369,Yes,15%+,Yes,Ineffective,No,No,5999,3,3,One-time payment,Restore lost mileage,₹6-10L
R100098,Wave 1 - Jul 2026,Metro,West,SUV,3.5,No,7042,Yes,10-15%,Yes,Neutral/Mixed,No,No,5999,5,7,One-time payment,Protect engine/seals from damage,>₹20L
R100099,Wave 1 - Jul 2026,Tier-3,South,Hatchback,1.7,No,4433,No,None noticed,No,Ineffective,Yes,No,5999,2,3,No-cost EMI (installments),Save money long-term vs additives,₹3-6L
R100100,Wave 1 - Jul 2026,Tier-3,North,Two-wheeler,4.5,No,867,Yes,15%+,No,Ineffective,No,No,3999,3,4,One-time payment,Restore lost mileage,₹6-10L
R100101,Wave 2 - Jul 2026,Tier-2,West,Sedan,4.1,No,6178,Yes,15%+,No,Disastrous,No,No,3999,5,10,Subscription (device+cartridges bundled),Restore lost mileage,>₹20L
R100102,Wave 2 - Jul 2026,Metro,East,Commercial/Fleet,5.3,No,10511,Yes,15%+,No,Disastrous,Yes,No,3999,5,7,One-time payment,Protect engine/seals from damage,₹3-6L
R100103,Wave 1 - Jul 2026,Tier-3,South,SUV,6.0,No,5840,Yes,5-10%,No,Ineffective,Yes,No,4499,2,2,Subscription (device+cartridges bundled),Not sure / still skeptical,₹6-10L
R100104,Wave 1 - Jul 2026,Tier-2,East,Two-wheeler,7.9,No,609,Yes,15%+,Yes,Disastrous,No,No,4499,5,9,No-cost EMI (installments),Protect engine/seals from damage,<₹3L
R100105,Wave 1 - Jul 2026,Tier-2,Central,Two-wheeler,5.1,No,1331,Yes,10-15%,Yes,Disastrous,Yes,Yes,3999,4,8,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100106,Wave 1 - Jul 2026,Tier-1,West,Commercial/Fleet,4.0,No,26838,No,None noticed,Yes,Neutral/Mixed,No,No,4499,5,8,No-cost EMI (installments),Save money long-term vs additives,<₹3L
R100107,Wave 2 - Jul 2026,Metro,West,Commercial/Fleet,5.3,No,17894,Yes,10-15%,Yes,Disastrous,Yes,No,4499,5,7,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100108,Wave 1 - Jul 2026,Metro,North,Hatchback,2.5,Yes,4957,Yes,0-5%,No,Positive,No,No,5999,4,7,No-cost EMI (installments),Not sure / still skeptical,₹3-6L
R100109,Wave 1 - Jul 2026,Tier-3,Central,Hatchback,2.4,Yes,6966,No,None noticed,No,Positive,Yes,No,4499,2,3,One-time payment,Save money long-term vs additives,₹10-20L
R100110,Wave 2 - Jul 2026,Tier-1,South,Hatchback,8.5,No,4675,Yes,10-15%,Yes,Neutral/Mixed,Yes,Yes,3999,2,4,Subscription (device+cartridges bundled),Not sure / still skeptical,₹6-10L
R100111,Wave 2 - Jul 2026,Metro,Central,Two-wheeler,2.3,Yes,1100,No,None noticed,No,Positive,No,Yes,4499,2,2,One-time payment,Not sure / still skeptical,₹6-10L
R100112,Wave 1 - Jul 2026,Tier-1,West,Two-wheeler,1.8,Yes,1154,No,None noticed,No,Ineffective,Yes,No,5999,1,1,No-cost EMI (installments),Not sure / still skeptical,₹6-10L
R100113,Wave 2 - Jul 2026,Tier-2,North,Two-wheeler,5.1,No,1400,No,None noticed,Yes,Disastrous,No,No,3999,5,10,One-time payment,Restore lost mileage,>₹20L
R100114,Wave 2 - Jul 2026,Metro,North,Two-wheeler,2.5,Yes,1152,Yes,0-5%,No,Neutral/Mixed,No,No,3999,4,9,No-cost EMI (installments),Save money long-term vs additives,₹3-6L
R100115,Wave 2 - Jul 2026,Tier-3,West,SUV,6.0,No,6919,Yes,15%+,Yes,Disastrous,No,No,5999,5,9,No-cost EMI (installments),Protect engine/seals from damage,<₹3L
R100116,Wave 1 - Jul 2026,Tier-2,West,Two-wheeler,7.5,No,1786,Yes,15%+,Yes,Disastrous,No,No,5999,4,5,No-cost EMI (installments),Restore lost mileage,<₹3L
R100117,Wave 2 - Jul 2026,Tier-2,North,Two-wheeler,2.1,Yes,1802,No,None noticed,No,Neutral/Mixed,No,No,3999,1,0,One-time payment,Not sure / still skeptical,₹10-20L
R100118,Wave 1 - Jul 2026,Tier-1,East,Hatchback,5.5,No,2263,No,None noticed,No,Ineffective,Yes,Yes,4499,3,5,One-time payment,Save money long-term vs additives,₹10-20L
R100119,Wave 1 - Jul 2026,Tier-2,East,Two-wheeler,2.3,Yes,1079,Yes,10-15%,Yes,Disastrous,Yes,No,4499,5,10,One-time payment,Environmental/fuel-quality concern,₹6-10L
R100120,Wave 1 - Jul 2026,Tier-2,South,Two-wheeler,3.0,No,1218,Yes,10-15%,No,Ineffective,Yes,No,3999,5,7,No-cost EMI (installments),Save money long-term vs additives,₹3-6L
R100121,Wave 1 - Jul 2026,Tier-2,South,Hatchback,4.4,No,4905,No,None noticed,No,Neutral/Mixed,No,No,3999,2,2,One-time payment,Save money long-term vs additives,₹6-10L
R100122,Wave 1 - Jul 2026,Metro,North,Two-wheeler,2.4,Yes,1848,Yes,5-10%,Yes,Ineffective,Yes,Yes,5999,3,6,Subscription (device+cartridges bundled),Save money long-term vs additives,₹6-10L
R100123,Wave 1 - Jul 2026,Tier-1,East,Hatchback,4.1,No,7378,Yes,15%+,Yes,Disastrous,Yes,No,4499,5,9,No-cost EMI (installments),Restore lost mileage,₹3-6L
R100124,Wave 1 - Jul 2026,Metro,South,Commercial/Fleet,3.2,No,16088,Yes,5-10%,No,Ineffective,Yes,No,3999,5,9,No-cost EMI (installments),Restore lost mileage,<₹3L
R100125,Wave 2 - Jul 2026,Tier-1,East,Two-wheeler,6.1,No,1237,No,None noticed,Yes,Disastrous,No,No,5999,3,7,Subscription (device+cartridges bundled),Environmental/fuel-quality concern,₹3-6L
R100126,Wave 1 - Jul 2026,Tier-1,South,Commercial/Fleet,6.1,No,21549,Yes,15%+,Yes,Ineffective,No,No,4499,5,8,One-time payment,Protect engine/seals from damage,₹6-10L
R100127,Wave 1 - Jul 2026,Metro,West,Commercial/Fleet,2.4,Yes,14966,No,None noticed,No,Ineffective,Yes,No,4499,5,10,No-cost EMI (installments),Save money long-term vs additives,>₹20L
R100128,Wave 2 - Jul 2026,Metro,South,SUV,4.4,No,7876,No,None noticed,Yes,Disastrous,Yes,No,3999,4,8,One-time payment,Protect engine/seals from damage,₹3-6L
R100129,Wave 1 - Jul 2026,Tier-2,North,Hatchback,6.7,No,3712,Yes,10-15%,No,Neutral/Mixed,No,No,3999,1,0,One-time payment,Environmental/fuel-quality concern,₹10-20L
R100130,Wave 2 - Jul 2026,Metro,East,Hatchback,1.6,Yes,1117,Yes,0-5%,No,Disastrous,No,No,3999,4,7,One-time payment,Save money long-term vs additives,₹6-10L
R100131,Wave 1 - Jul 2026,Tier-3,South,Hatchback,3.2,No,4345,Yes,5-10%,No,Ineffective,No,No,5999,4,7,No-cost EMI (installments),Restore lost mileage,₹6-10L
R100132,Wave 2 - Jul 2026,Tier-2,West,Sedan,4.3,No,5504,Yes,15%+,No,Disastrous,No,Yes,4499,4,7,No-cost EMI (installments),Not sure / still skeptical,₹10-20L
R100133,Wave 1 - Jul 2026,Tier-1,Central,Two-wheeler,1.6,No,1898,Yes,5-10%,No,Disastrous,Yes,No,5999,2,2,One-time payment,Not sure / still skeptical,₹6-10L
R100134,Wave 1 - Jul 2026,Tier-2,Central,Commercial/Fleet,2.6,Yes,18528,No,None noticed,No,Ineffective,No,No,3999,5,9,No-cost EMI (installments),Save money long-term vs additives,<₹3L
R100135,Wave 2 - Jul 2026,Metro,East,Hatchback,9.6,No,2724,Yes,15%+,Yes,Neutral/Mixed,No,No,5999,4,6,One-time payment,Environmental/fuel-quality concern,₹3-6L
R100136,Wave 1 - Jul 2026,Tier-3,North,SUV,2.3,Yes,7607,No,None noticed,No,Neutral/Mixed,No,No,4499,3,4,One-time payment,Save money long-term vs additives,₹10-20L
